book_id,genres
581169,"fiction, children, fantasy, paranormal, young-adult"
65832,"fiction, young-adult, children, history, historical fiction, biography, romance"
6987114,"mystery, thriller, crime, fiction, children"
852724,"children, fiction, young-adult, history, historical fiction, biography"
15983158,"fantasy, paranormal, fiction, children, young-adult"
37700,"fantasy, paranormal, fiction, children, young-adult"
37705,"fiction, young-adult, history, historical fiction, biography, children, romance"
533675,"children, fantasy, paranormal, fiction, young-adult"
13447642,"fiction, children, young-adult, history, historical fiction, biography, fantasy, paranormal"
1386631,"fantasy, paranormal, fiction, children, young-adult"
18777830,"young-adult, fiction, history, historical fiction, biography, children, fantasy, paranormal"
1420180,"children, fiction"
2968207,"fiction, young-adult, history, historical fiction, biography, children, romance"
210297,"fiction, children, young-adult, history, historical fiction, biography, fantasy, paranormal, mystery, thriller, crime"
12457856,"fantasy, paranormal, children, fiction, young-adult, history, historical fiction, biography"
343002,"children, fiction, fantasy, paranormal, young-adult"
9464459,"fiction, young-adult, children, history, historical fiction, biography"
4683101,"fiction, children, fantasy, paranormal, young-adult, history, historical fiction, biography"
915529,"fantasy, paranormal, fiction, children, young-adult, romance"
1228731,"fiction, children, history, historical fiction, biography, young-adult"
1577950,"fiction, children, young-adult, fantasy, paranormal"
33509754,"children, fantasy, paranormal, fiction, young-adult"
1106532,"fiction, young-adult, children, history, historical fiction, biography"
126910,"fiction, children, young-adult, history, historical fiction, biography, romance"
18270638,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography"
8599324,"fiction, young-adult, history, historical fiction, biography, children, romance"
1052081,"fantasy, paranormal, fiction, children, young-adult"
1052080,"fantasy, paranormal, fiction, children, young-adult"
17557901,"fantasy, paranormal, fiction, children, young-adult, non-fiction"
782513,"fiction, children, history, historical fiction, biography, young-adult"
779021,"fantasy, paranormal, children, fiction, young-adult"
118458,"poetry, children, fiction, young-adult, non-fiction"
233714,"children, fiction, young-adult, fantasy, paranormal"
13547175,"children, fiction, fantasy, paranormal, young-adult, romance, non-fiction"
12804713,"fantasy, paranormal, fiction, children, young-adult"
30140997,"children, fiction, history, historical fiction, biography"
22755547,"fiction, children, fantasy, paranormal, young-adult, poetry"
6378489,"fiction, young-adult, history, historical fiction, biography, children, romance"
478814,"fiction, children, fantasy, paranormal, young-adult, history, historical fiction, biography, poetry"
10290538,"children, fiction, fantasy, paranormal, young-adult"
10290539,"children, fiction, fantasy, paranormal, young-adult"
885512,"children, fiction, fantasy, paranormal, young-adult"
1404078,"fiction, fantasy, paranormal, children, young-adult, history, historical fiction, biography"
25902449,"children, fiction, fantasy, paranormal, young-adult"
823591,"fiction, young-adult, history, historical fiction, biography, children, romance"
774557,"fantasy, paranormal, children, fiction, young-adult, non-fiction"
2819626,"fiction, history, historical fiction, biography, children, young-adult"
901941,"fiction, children, young-adult, history, historical fiction, biography, romance"
8840926,"fiction, children, fantasy, paranormal"
353640,children
164531,"children, fiction, young-adult, history, historical fiction, biography, fantasy, paranormal"
14578344,"fantasy, paranormal, fiction, children, history, historical fiction, biography, young-adult, poetry, romance"
1819127,"fiction, children, history, historical fiction, biography"
2752212,"children, fiction"
7293254,"poetry, fiction, children"
17434185,"children, young-adult, fiction, fantasy, paranormal"
1291925,"fantasy, paranormal, fiction, children, non-fiction"
6603788,"fiction, history, historical fiction, biography, children, young-adult"
246546,"fiction, history, historical fiction, biography, children, young-adult, romance"
26240515,"children, fiction, young-adult"
2805247,"fiction, young-adult, history, historical fiction, biography, children, romance"
2721924,"children, history, historical fiction, biography, fiction"
19337,"children, fiction, fantasy, paranormal, young-adult"
19336,"children, fiction, fantasy, paranormal, young-adult"
