book_id,title,author,genres,publication_year
581169,The Wind in the Willows,Kenneth Grahame,fiction|children|fantasy|paranormal|young-adult,2009
65832,Anne of Green Gables,L.M. Montgomery,fiction|young-adult|children|history|historical fiction|biography|romance,1984
6987114,Mary Louise and the Liberty Girls,Edith Van Dyne,mystery|thriller|crime|fiction|children,2009
852724,Heidi,Johanna Spyri,children|fiction|young-adult|history|historical fiction|biography,1998
15983158,The Little Lame Prince,Dinah Maria Mulock Craik,fantasy|paranormal|fiction|children|young-adult,1874
37700,Alice's Adventures in Wonderland,Lewis Carroll,fantasy|paranormal|fiction|children|young-adult,2000
37705,Anne of the Island,L.M. Montgomery,fiction|young-adult|history|historical fiction|biography|children|romance,2001
533675,Pinocchio,Eugene Bradley Coco,children|fantasy|paranormal|fiction|young-adult,1999
13447642,A Little Princess,Frances Hodgson Burnett,fiction|children|young-adult|history|historical fiction|biography|fantasy|paranormal,1994
1386631,Peter Pan,J.M. Barrie,fantasy|paranormal|fiction|children|young-adult,2003
18777830,The Call of the Wild,Jack London,young-adult|fiction|history|historical fiction|biography|children|fantasy|paranormal,2013
1420180,The Little Red Hen,Ronne Randall,children|fiction,1999
2968207,Anne of Avonlea,L.M. Montgomery,fiction|young-adult|history|historical fiction|biography|children|romance,1997
210297,The Secret Garden,Frances Hodgson Burnett,fiction|children|young-adult|history|historical fiction|biography|fantasy|paranormal|mystery|thriller|crime,1985
12457856,The Water-Babies,Charles Kingsley,fantasy|paranormal|children|fiction|young-adult|history|historical fiction|biography,2011
343002,The Emperor's New Clothes,Hans Christian Andersen,children|fiction|fantasy|paranormal|young-adult,2004
9464459,A Garland for Girls,Louisa May Alcott,fiction|young-adult|children|history|historical fiction|biography,2010
4683101,The Jungle Book,Rudyard Kipling,fiction|children|fantasy|paranormal|young-adult|history|historical fiction|biography,1975
915529,The Snow Queen,Hans Christian Andersen,fantasy|paranormal|fiction|children|young-adult|romance,2000
1228731,Understood Betsy,Dorothy Canfield Fisher,fiction|children|history|historical fiction|biography|young-adult,1999
1577950,The Three Bears,Carol North,fiction|children|young-adult|fantasy|paranormal,1993
33509754,The Wonderful Wizard of Oz,L. Frank Baum,children|fantasy|paranormal|fiction|young-adult,2016
1106532,Jack and Jill,Louisa May Alcott,fiction|young-adult|children|history|historical fiction|biography,1999
126910,Pollyanna,Eleanor H. Porter,fiction|children|young-adult|history|historical fiction|biography|romance,2006
18270638,At the Back of the North Wind,George MacDonald,fantasy|paranormal|fiction|children|young-adult|history|historical fiction|biography,2012
8599324,Rainbow Valley,L.M. Montgomery,fiction|young-adult|history|historical fiction|biography|children|romance,2010
1052081,Rinkitink in Oz,L. Frank Baum,fantasy|paranormal|fiction|children|young-adult,1993
1052080,The Road to Oz,L. Frank Baum,fantasy|paranormal|fiction|children|young-adult,1986
17557901,Grimm's Fairy Tales,Jacob Grimm,fantasy|paranormal|fiction|children|young-adult|non-fiction,1993
782513,Little Lord Fauntleroy,Frances Hodgson Burnett,fiction|children|history|historical fiction|biography|young-adult,1994
779021,The Happy Prince and Other Tales,Oscar Wilde,fantasy|paranormal|children|fiction|young-adult,1995
118458,A Child's Garden of Verses,Robert Louis Stevenson,poetry|children|fiction|young-adult|non-fiction,1998
233714,Pippi Longstocking,Astrid Lindgren,children|fiction|young-adult|fantasy|paranormal,1997
13547175,The Little Mermaid,Robert Sabuda,children|fiction|fantasy|paranormal|young-adult|romance|non-fiction,2013
12804713,The Princess and the Goblin,George MacDonald,fantasy|paranormal|fiction|children|young-adult,2009
30140997,The Dutch Twins,Lucy Fitch Perkins,children|fiction|history|historical fiction|biography,1939
22755547,Just So Stories,Rudyard Kipling,fiction|children|fantasy|paranormal|young-adult|poetry,2001
6378489,Eight Cousins,Louisa May Alcott,fiction|young-adult|history|historical fiction|biography|children|romance,1958
478814,Aesop's Fables,Aesop,fiction|children|fantasy|paranormal|young-adult|history|historical fiction|biography|poetry,1992
10290538,The Tale of Peter Rabbit,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,1984
